userId,RecommendedItemIds
4,17380 27131 6699 29805 10488
5,15743 10514 27322 17380 35738
8,35247 28966 28393 33175 505
9,13367 30287 23213 17648 3456
13,22870 15469 23137 7393 25286
18,10059 15973 17380 25467 13530
19,10446 17389 13367 18200 13754
23,33443 7597 8717 28109 36872
26,26468 25920 17463 26454 22976
29,3847 10446 32883 11366 30758
31,19748 26024 21358 35391 7036
32,18200 28688 19529 2578 33173
33,3665 18543 27132 34223 14366
35,21505 36843 25887 34090 6461
37,26346 30453 32083 4735 22776
51,21495 11259 19127 25920 25886
52,35738 3431 26147 26681 9913
53,22029 33173 10446 30653 36109
54,24639 2108 5578 33173 35020
61,25938 28199 6314 25500 7584
64,23507 8216 27660 34351 30019
69,4373 33500 16307 35367 10546
76,13367 30278 31992 34223 228
78,27132 3841 17207 31076 24479
79,15086 33546 26024 29184 30616
85,2578 14785 3496 26726 30717
89,11237 5360 26804 7937 31076
92,6017 15373 14932 19020 17207
93,4922 3456 20635 27352 10200
95,9420 19332 7923 154 6612
100,12997 2143 18164 6699 17207
104,36957 9415 1363 9404 2578
105,7759 16571 27132 32019 20495
109,28199 8549 17207 3972 10488
110,13750 5861 19642 6461 31037
111,12454 8394 34223 10446 16153
112,10446 22029 36109 33173 1447
122,25007 7287 15932 35945 10642
126,9404 21613 9415 21406 133
131,18389 27425 12689 18721 12055
132,30925 21913 14537 33298 11879
136,9420 31914 21412 16644 33500
140,33755 20620 20262 2447 10452
144,21379 34868 35391 31597 13470
145,16910 15816 8336 25924 30121
146,19127 21412 30087 34930 8394
151,15983 33562 22976 21913 34223
152,13367 25886 19426 1076 28688
155,9277 10864 4518 33645 36827
156,4922 31037 15743 14707 2464
160,26285 7274 35300 28774 33173
162,9420 33562 24626 16367 6561
164,269 10446 31992 7555 27132
165,22976 26332 19127 23089 17152
166,26743 33500 17207 31341 33788
169,20620 34351 32375 22029 31992
173,8752 3456 19426 19785 1729
179,8368 17207 33383 14834 3985
184,27409 25363 3077 31254 15973
185,912 25421 30925 26044 17389
186,33173 31992 34517 26285 6111
187,1583 20635 2108 33266 12997
189,17149 22029 30717 28199 36492
190,28199 33788 6343 1289 31076
191,21710 15483 31250 9562 15449
197,34930 6773 30453 10625 30942
205,8035 10446 6263 2911 19798
208,22029 23030 2041 10446 30019
209,17207 6773 21412 32337 26407
217,2227 9577 22002 33603 35738
218,25920 26468 33500 22813 36109
222,14572 26804 2339 18741 24512
223,9404 3496 31992 21299 7733
234,19452 21484 12873 18881 19907
240,2049 418 31136 7597 27660
246,32916 9577 35738 26197 33443
247,6627 10546 20413 17207 18801
250,269 22272 23507 33603 25421
257,27502 16845 23507 19332 18200
258,35738 24639 19127 775 33443
268,15508 33546 32980 2671 23012
269,26743 16367 35381 35486 8394
270,6821 13502 27132 1289 14572
274,33562 30595 6699 31992 21459
278,5578 21157 26743 25421 12077
281,25920 1076 21495 24639 24626
288,35486 17529 24626 34365 30925
294,10446 17648 1076 8216 18099
296,15973 16425 4475 1448 17107
299,28199 13649 1755 2712 14537
301,14792 17781 9125 14503 9535
308,23188 2108 18200 14616 17383
310,2578 6461 14351 1363 36168
312,3456 23188 29692 34351 7498
314,26743 12102 1190 25645 21304
318,30982 19837 35381 25886 27116
321,20208 26736 11717 21913 10446
326,31136 23188 10446 17597 33573
327,8013 18546 33173 18016 17529
333,11486 6461 9404 19642 20965
336,6699 36056 32916 33500 30087
337,14932 13367 26743 28688 775
339,22029 28199 35390 23049 28289
344,33266 24639 22870 6461 20635
350,33298 23089 23756 15280 21661
353,24488 33500 33755 19837 19478
355,6699 6627 10546 21459 5292
359,27192 8049 19536 30034 30668
361,23507 27502 17389 35300 17445
364,36855 18881 14020 4735 29805
365,36587 32308 18717 24639 7592
374,36109 2041 32479 25920 11131
375,18200 33598 31978 11366 33780
376,15917 36855 17782 16511 20777
378,27753 24786 36204 18063 14785
379,33755 26147 12354 9577 16653
380,3387 15826 33562 9074 36843
383,24639 2108 33475 36248 34351
385,33173 18791 11366 27569 20407
388,13069 30278 7597 6627 551
390,15031 23516 30910 31112 17648
393,19907 33298 28964 22029 4475
399,33173 9894 17648 13726 34351
401,3456 14174 27322 27586 6699
405,17529 32347 25304 15743 32808
412,26044 3662 30925 13913 2911
413,33475 30440 30511 22272 36937
415,31963 2623 17124 19370 33743
418,19505 8231 27348 3976 36745
431,6627 29046 10546 16916 33298
433,23049 21913 31341 28949 12102
441,33173 6699 29389 14599 17529
443,30019 8216 24639 7903 9894
445,22976 1397 2623 551 21495
449,2234 9902 31037 12354 4762
456,33175 26762 13502 17389 25939
458,21406 28102 2578 27569 6461
459,22552 28030 3398 35804 32916
463,17463 32347 6871 30516 35381
466,15280 33500 12384 26743 13886
477,24488 18200 21913 19907 25886
478,28966 35738 33175 35247 2041
481,2049 11868 6343 30360 15417
487,15743 29848 17389 13574 27322
488,23388 6627 28688 12180 30616
491,17207 33562 6699 8519 34930
494,1397 26743 33603 22976 22002
503,18200 2108 33266 33173 31037
504,8013 19020 14734 15732 34223
508,31136 366 22211 9577 23507
509,9404 1363 133 11486 36957
510,26743 5578 21157 12077 25421
511,269 14372 12354 10963 25304
516,32019 3993 19907 33173 25940
524,269 27650 8788 36109 30942
527,10446 17648 18200 15743 26576
531,33092 9893 34642 18178 14101
532,7824 8788 11366 14839 25196
541,33598 8394 26197 25939 33788
542,12362 9730 4922 3826 3398
543,3841 24639 23089 10059 34930
549,9404 21613 36599 133 21406
551,11259 19127 8519 16644 33500
559,22029 13367 33546 3841 28964
565,6516 1289 18200 3436 8013
568,34930 5578 27584 4228 24639
569,6068 16339 5164 6821 34595
572,24639 31341 35100 4475 6068
582,22029 12354 27562 2041 31992
589,17583 11259 8875 17207 17529
590,33562 6627 12866 19127 23336
592,10446 31381 36723 10685 5945
595,35247 29777 25920 75 35608
599,133 11486 20965 32503 20256
600,27923 4327 17445 19858 11366
603,16818 3456 31992 35738 1460
605,35695 8216 30622 31992 33173
606,9577 18389 269 25421 12200
615,31992 7597 12354 30718 22029
616,18741 16356 10059 3216 17380
617,19642 34223 18791 37033 4762
621,35294 36784 33173 34891 15823
632,6699 33500 30982 11717 18662
643,23516 20620 33603 27562 19426
646,17463 33500 7168 34223 14423
651,18105 33523 25257 36964 24
652,17107 4105 17782 12873 16425
653,28199 20673 12372 6821 13707
654,16129 13498 36341 18551 6848
658,8216 35381 12866 15743 2164
659,18717 1397 7597 19332 8759
663,26951 15743 31076 18741 18453
665,9577 20620 12866 13726 36492
673,35458 3515 20168 17585 16959
675,30942 17815 12866 35805 31924
680,23507 34602 36723 27502 17936
681,10701 35300 15680 3456 14076
684,2623 35300 22029 31971 269
691,9420 6699 9066 25304 19426
696,15086 20941 15687 8394 34602
700,9420 722 986 19271 13069
705,23030 15246 35001 34602 31220
706,2464 19127 19478 17815 7393
710,25304 11366 24479 9012 18741
712,9893 17597 21245 6314 14785
713,22976 37065 30616 12454 21495
715,19725 33500 30910 7241 32332
717,36168 1363 33649 269 20673
722,4105 17380 30453 4735 35649
725,3077 2339 8549 35390 14264
729,16803 35158 4708 17149 6821
733,25694 19127 19370 18741 3937
739,25363 15086 21912 19332 7592
741,36109 20745 16766 30653 19167
744,35534 5385 17824 29295 22069
747,19127 30616 25886 34223 17207
750,24639 29239 6627 26951 17207
757,33562 26743 30087 9420 9893
759,28964 32019 33562 603 3841
761,18741 26951 24547 36533 3457
773,2227 9577 27502 22002 21406
777,5578 29005 30087 12362 19426
780,23089 21495 3841 32916 4735
782,2041 32479 12362 2578 35300
784,14785 10200 15687 33014 35391
787,2623 17207 30616 31341 37065
788,13502 14572 3841 7759 6627
789,17943 16687 9420 30616 35300
791,15917 12873 32083 15973 36982
792,10736 33014 12997 6871 3367
796,4735 1448 33115 21175 3587
801,28199 13782 11458 27780 21661
806,33603 34426 1209 31136 8924
808,9577 25363 19332 15086 18389
810,474 33629 7562 28688 28375
813,18389 479 28369 7811 12752
816,26846 25886 2442 12102 12180
820,12102 31914 31971 31161 14932
826,28199 3387 26743 3841 27132
827,23089 2578 6773 30653 28199
828,2464 8216 17648 18099 10642
831,30237 26743 19897 19626 34351
833,25304 28688 2339 5926 7107
834,34351 15452 23540 21459 7537
835,14785 30653 18200 33562 12454
839,25196 31341 15037 8013 11781
850,11966 24042 28393 19798 12384
852,18099 30616 3584 12927 1853
853,30942 23388 36056 28750 16345
854,9913 14616 32308 33780 5054
857,15280 28431 12384 6699 11872
862,14785 8368 13764 15086 28466
867,1076 17383 17648 14616 33475
869,19426 13782 16644 25196 21913
873,10685 17648 22976 19127 13367
874,11210 2108 4328 29159 28814
879,10059 21765 26621 21459 28199
883,17463 3974 28964 15086 4785
884,15086 25363 23507 19332 7592
886,15743 31992 2464 26576 17207
888,18099 31220 26846 28121 18242
890,5578 17383 22976 28199 3527
899,27660 27453 6879 14169 12824
900,28590 30616 269 36109 30653
905,15971 24547 8549 14020 10059
907,9607 36109 17152 17815 5945
908,33562 6773 6014 6561 9420
909,30173 8189 11966 16547 29848
916,3483 29980 5237 22818 4272
919,33562 8013 14932 20737 22002
926,34833 5524 12463 30119 10137
927,4327 23240 7701 7497 17464
929,34930 9893 25506 33562 36537
937,17815 14644 10514 1076 17648
942,1289 13502 2143 33298 31828
944,4578 6405 34930 18200 24639
946,12102 21412 30755 31978 14932
947,27950 15073 14085 5993 52
949,28199 29046 1289 14734 5578
956,6773 23089 2464 5578 22976
958,26743 13069 36723 27339 775
961,19240 20955 8599 32780 7597
968,12354 22002 34351 14351 18303
969,26951 5292 1289 2143 28199
972,12454 30653 20745 7592 23507
977,35149 1289 35345 2143 612
978,2464 15743 5889 33175 5227
979,23188 2108 34351 14616 18200
982,7759 35300 10446 28199 909
983,28153 20965 1363 14351 9415
987,5861 30360 23137 7788 11210
990,4327 23240 20985 36168 8996
1005,33173 8717 32727 4735 30453
1010,26743 6627 27132 33788 35390
1011,18741 33475 6699 25421 36723
1014,30616 2623 31341 17207 37065
1016,3077 17380 10415 31978 2339
1017,31037 16818 6627 7393 10701
1033,9577 33475 17936 17597 2464
1043,1447 15971 33603 24639 33562
1044,9125 30453 13701 4735 1448
