userId,RecommendedItemIds
4,17380 4122 27131 6699 31731 
5,30360 15743 32674 26468 12354 
8,505 12669 15119 4549 553 
9,13367 782 8216 21867 30287 
13,23137 15469 22870 26726 25286 
18,15973 30453 10059 4105 31254 
19,7811 6111 13367 17389 10446 
23,33443 8717 28109 7597 34090 
26,33194 20262 11147 23540 26576 
29,133 27686 29261 11366 17821 
31,19748 21358 27054 26884 26024 
32,18200 17389 33173 17207 19529 
33,3665 18543 14777 9893 25694 
35,36843 34090 21505 8394 9074 
37,32083 22776 23951 26346 4735 
51,19127 25694 25886 13367 23336 
52,26147 4554 35738 34070 3431 
53,35300 22029 30653 22211 18069 
54,24639 19584 17453 25697 18211 
61,19426 19837 34223 28199 15452 
64,9577 8216 23507 1397 33780 
69,4373 16307 23336 12333 33500 
76,12697 27000 13367 8425 35391 
78,24547 27132 31076 16307 6821 
79,26024 15086 33546 31013 9913 
85,9577 11774 2578 19725 30360 
89,11237 26804 5360 17676 16713 
92,6017 33562 1873 6405 27885 
93,30653 18389 11868 35300 12866 
95,25694 9420 27132 19426 10546 
100,2143 20965 4605 17207 7368 
104,9913 36957 9415 2578 20620 
105,32019 7759 10059 24880 16571 
109,28199 8549 10059 3972 31076 
110,13750 31633 6461 36115 26686 
111,22002 10446 6263 22029 1076 
112,22029 10446 36109 36204 33173 
122,18546 21913 14234 19637 13094 
126,9404 9415 21613 133 20965 
131,18389 27425 4113 2135 7399 
132,30925 17272 34930 24639 27776 
136,19478 24639 22976 12102 31914 
140,21818 20160 5901 8941 23827 
144,26369 7800 12949 23513 21788 
145,15816 16910 27416 14963 21208 
146,19127 21412 5900 8394 26846 
151,15983 33562 17152 26743 26150 
152,14734 2339 10059 26658 2041 
155,12165 26143 12799 10406 34258 
156,25694 12866 35300 15743 551 
160,26285 7274 24626 12584 27584 
162,9420 34930 24626 19127 25694 
164,7555 5360 36855 8549 22385 
165,22976 13440 22029 17152 12866 
166,33443 30818 14099 13498 31341 
169,32375 34351 33603 20620 22029 
173,30087 25920 25886 10514 19725 
179,14616 21505 32827 30616 1397 
184,33957 30453 15973 36855 19907 
185,912 6627 25421 18650 28463 
186,33173 34517 6111 31992 14616 
187,20635 14705 9913 12997 18200 
189,11210 22029 5901 2041 15687 
190,28199 33788 6343 3841 36839 
191,15449 15483 23240 21710 29219 
197,30942 18881 34930 3841 22347 
205,8035 10446 6263 22002 1456 
208,22029 30087 12354 31992 10446 
209,19624 13498 30938 17809 7304 
217,22002 2227 36872 9577 21717 
218,30910 20262 22813 33500 26576 
222,34595 10059 24512 17782 14572 
223,26197 3496 9404 27569 14785 
234,4105 17782 36855 19907 4475 
240,418 31971 27356 28701 27660 
246,2971 24626 32916 35738 3841 
247,6627 33788 10546 31107 10469 
250,33603 35695 23507 22272 12656 
257,35300 18200 19332 27502 17389 
258,775 9257 24488 35738 24639 
268,33546 15508 2671 29574 29989 
269,4200 1478 2004 1383 31857 
270,14572 6821 13502 35367 27132 
274,33562 30595 34223 12305 19127 
278,5578 26743 10469 12077 8049 
281,12997 25624 21412 24639 25920 
288,35486 17529 31817 22713 27847 
294,10446 33475 1076 17463 7903 
296,15973 16425 4475 7759 1448 
299,10059 28199 17380 6627 19907 
301,27362 8205 17097 14792 7815 
308,23188 2108 18200 17383 14616 
310,6461 2578 31992 14351 52 
312,23188 22812 29692 21081 3456 
314,26743 33266 17936 34930 12102 
318,15452 19837 7368 35381 13198 
321,18645 34223 33543 24488 19426 
326,21195 16766 31136 10446 16272 
327,21913 8013 8249 33173 1153 
333,11486 36168 6461 9404 20965 
336,34930 30087 32916 6699 17207 
337,14932 13367 19837 28688 32916 
339,26804 28199 35390 6068 11237 
344,22870 33266 12 12180 6461 
350,23089 21661 23756 33298 31973 
353,26743 24488 33500 31971 30087 
355,6699 32642 19127 30699 9420 
359,16484 30034 27192 15786 14229 
361,27502 23507 17389 35300 32260 
364,14020 36855 16511 18881 16425 
365,35738 14616 12454 12354 9893 
374,31992 20941 31971 12354 2712 
375,18200 19426 14616 11366 23188 
376,15917 36855 17193 16511 15060 
378,36204 18063 29389 35300 14785 
379,26147 33755 12354 9577 15221 
380,3387 4833 15826 36843 26585 
383,24639 2108 27132 33475 32308 
385,33173 16272 8571 18791 29915 
388,13069 6627 7597 551 35381 
390,16153 30910 34090 33498 24109 
393,1289 21459 25694 13782 30924 
399,33173 8216 13726 6111 34351 
401,22870 20635 21671 21063 26465 
405,6284 18416 21031 8146 35006 
412,13913 17973 3662 30633 17756 
413,33755 33562 34930 9893 31341 
415,17124 33743 9978 31963 34739 
418,36745 19752 3165 35318 35247 
431,6627 25694 33788 10546 32916 
433,24639 21412 15743 8394 32674 
441,34930 33173 17529 6627 8519 
443,8216 24639 33173 8156 30019 
445,19426 1397 22976 2623 8216 
449,2234 9902 32479 990 17270 
456,33175 2148 14533 13502 26762 
458,21406 2578 28102 27569 9415 
459,17936 30622 26468 36213 25278 
463,17463 32347 1330 16997 26197 
466,15280 33500 24195 24488 12384 
477,19426 33475 33266 25920 11366 
478,35738 28966 13574 33175 35247 
481,9913 2049 11868 27761 22029 
487,5227 17389 33603 11366 29848 
488,28688 15983 23388 26605 24488 
491,17207 33562 6699 14767 13093 
494,1397 22002 27526 2050 2766 
503,18200 33173 2108 33266 14599 
504,8013 551 19020 15732 30514 
508,31136 35930 15489 30633 366 
509,9404 1363 133 36599 36957 
510,5578 26743 10469 12077 9420 
511,14372 8040 269 22002 10963 
516,32019 28199 17782 28964 17207 
524,19271 1057 36109 27009 28590 
527,18200 17648 10446 2134 18741 
531,33092 30294 14973 11693 30712 
532,11366 26884 16845 14839 8788 
541,8394 33598 15497 17597 8035 
542,14734 25694 9420 35300 19127 
543,15971 26743 25694 6821 18099 
549,9404 36599 6699 21613 28688 
551,33562 19127 11259 12866 9420 
559,6821 22029 33562 9913 33266 
565,3436 6516 17573 26410 7788 
568,34930 14734 32287 4228 6821 
569,28199 13502 24639 22347 32287 
572,24639 31341 5575 6068 21081 
582,22029 2041 30087 27562 21099 
589,34930 6446 8875 17529 6699 
590,19127 23336 33562 12866 17207 
592,10446 31381 25940 4762 7241 
595,35247 25920 31031 17307 146 
599,26197 32347 20965 133 11486 
600,4327 17445 19858 27923 25304 
603,16818 34223 3456 13198 9913 
605,8216 35695 23030 11774 19127 
606,9577 9894 26104 23507 20941 
615,31992 445 30718 25920 366 
616,16356 18741 24880 15971 2339 
617,27569 37033 21981 36872 27358 
621,11259 33173 35294 21678 36784 
632,33708 25082 6699 33500 11717 
643,20620 562 27562 26884 23516 
646,2464 17463 603 11259 13451 
651,34533 25257 36964 21182 18105 
652,30453 4105 1448 4122 32578 
653,21081 28199 6821 27132 27780 
654,16129 10336 14525 11043 14616 
658,8216 35381 12866 7274 33546 
659,27455 1397 18717 7592 36379 
663,31076 26951 18453 22385 32287 
665,9577 16153 20620 24958 34090 
673,35458 33219 31831 2578 3515 
675,4708 25939 30360 22813 7301 
680,34602 23507 35300 7597 27660 
681,10701 14076 27761 35300 14738 
684,17383 1076 2623 31971 20941 
691,6627 9420 25886 19426 6699 
696,34602 15086 17082 8394 20941 
700,27132 9420 33562 19426 5578 
705,34602 2464 33603 21765 32674 
706,19127 2464 7274 17815 7903 
710,25304 9012 24479 21081 18741 
712,8788 7824 6314 32019 5128 
713,22976 37065 14785 30616 31220 
715,19725 7923 35202 1940 26117 
717,36168 33649 2578 5292 269 
722,4105 30453 4735 17380 15973 
725,3077 2339 8549 35390 17493 
729,6821 21081 31076 16803 14734 
733,19370 25694 3937 19127 4814 
739,36843 21910 15086 25887 14762 
741,10446 876 7274 25920 33173 
744,31377 5094 22507 33119 6988 
747,19127 30616 7923 11618 25886 
750,6627 19127 24639 10546 17207 
757,26743 33562 14932 25506 19127 
759,28964 33562 1289 26846 32019 
761,18741 36533 3457 24547 26951 
773,36340 27502 2227 16741 1253 
